size,test_case,description,block_size,duration_ms,verification,blocks_even,threads_even,blocks_odd
100000,0,baseline_if_else,128,0.149,PASS,N/A,N/A,N/A
100000,0,baseline_if_else,256,0.143,PASS,N/A,N/A,N/A
100000,0,baseline_if_else,512,0.166,PASS,N/A,N/A,N/A
100000,0,baseline_if_else,1024,0.15,PASS,N/A,N/A,N/A
100000,1,optimized_no_divergence,128,0.158,PASS,391,128,391
100000,1,optimized_no_divergence,256,0.174,PASS,196,256,196
100000,1,optimized_no_divergence,512,0.158,PASS,98,512,98
100000,1,optimized_no_divergence,1024,0.151,PASS,49,1024,49
1000000,0,baseline_if_else,128,0.226,PASS,N/A,N/A,N/A
1000000,0,baseline_if_else,256,0.206,PASS,N/A,N/A,N/A
1000000,0,baseline_if_else,512,0.147,PASS,N/A,N/A,N/A
1000000,0,baseline_if_else,1024,0.19,PASS,N/A,N/A,N/A
1000000,1,optimized_no_divergence,128,0.168,PASS,3907,128,3907
1000000,1,optimized_no_divergence,256,0.252,PASS,1954,256,1954
1000000,1,optimized_no_divergence,512,0.186,PASS,977,512,977
1000000,1,optimized_no_divergence,1024,0.159,PASS,489,1024,489
10000000,0,baseline_if_else,128,0.509,PASS,N/A,N/A,N/A
10000000,0,baseline_if_else,256,0.493,PASS,N/A,N/A,N/A
10000000,0,baseline_if_else,512,0.488,PASS,N/A,N/A,N/A
10000000,0,baseline_if_else,1024,0.509,PASS,N/A,N/A,N/A
10000000,1,optimized_no_divergence,128,0.71,PASS,39063,128,39063
10000000,1,optimized_no_divergence,256,0.784,PASS,19532,256,19532
10000000,1,optimized_no_divergence,512,0.781,PASS,9766,512,9766
10000000,1,optimized_no_divergence,1024,0.783,PASS,4883,1024,4883
